Test,Animal,Treatment,Day,Trial,Duration,Distance,WMC_error,RM_error
360,2,SEA E12.5,5,4,115,14.821,15,22
361,3,SEA E12.5,5,1,13.4,0.572,0,1
362,3,SEA E12.5,5,2,22.7,2.468,0,6
363,3,SEA E12.5,5,3,71,7.25,6,15
364,3,SEA E12.5,5,4,120,11.889,15,18
365,4,SEA E12.5,5,1,14.2,1.484,0,4
366,4,SEA E12.5,5,2,4.3,0.451,0,0
367,4,SEA E12.5,5,3,12.9,1.676,3,1
368,4,SEA E12.5,5,4,120,15.208,13,24
369,5,SEA E12.5,5,1,12.6,0.451,0,0
370,5,SEA E12.5,5,2,119.9,10.207,4,20
371,5,SEA E12.5,5,3,106.1,8.949,6,16
372,5,SEA E12.5,5,4,5.3,0.279,0,0
373,6,SEA E12.5,5,1,5.7,0.304,0,0
374,6,SEA E12.5,5,2,29.1,3.989,6,2
375,6,SEA E12.5,5,3,27.1,3.34,3,5
376,6,SEA E12.5,5,4,23.7,2.674,3,3
377,7,Saline E12.5,5,1,21.9,1.274,0,3
378,7,Saline E12.5,5,2,22.1,1.32,2,1
379,7,Saline E12.5,5,3,120,5.745,13,6
380,7,Saline E12.5,5,4,120,5.148,13,1
381,8,Saline E12.5,5,1,29,2.577,0,2
382,8,Saline E12.5,5,2,46.3,6.361,5,6
383,8,Saline E12.5,5,3,25.7,2.451,6,0
384,8,Saline E12.5,5,4,120,10.046,18,9
385,9,Saline E12.5,5,1,6.7,0.615,0,1
386,9,Saline E12.5,5,2,18,1.68,2,2
387,9,Saline E12.5,5,3,12.4,1.362,0,3
388,9,Saline E12.5,5,4,7.6,0.707,0,1
389,10,Saline E12.5,5,1,6.9,0.609,0,0
390,10,Saline E12.5,5,2,6.3,1.914,1,1
391,10,Saline E12.5,5,3,8.2,1.054,0,1
392,10,Saline E12.5,5,4,59.1,7.882,13,7
393,11,SEA E12.5,5,1,8.9,0.694,0,0
394,11,SEA E12.5,5,2,28.9,2.532,2,5
395,11,SEA E12.5,5,3,5.6,0.499,0,1
396,11,SEA E12.5,5,4,99.7,9.934,13,15
397,12,SEA E12.5,5,1,8.4,0.578,0,1
398,12,SEA E12.5,5,2,6.7,0.417,0,2
399,12,SEA E12.5,5,3,21.1,2.373,2,4
400,12,SEA E12.5,5,4,64.3,6.733,8,12
401,13,SEA E12.5,5,1,9.2,0.952,0,2
402,13,SEA E12.5,5,2,4.1,0.091,0,0
403,13,SEA E12.5,5,3,31.9,4.337,2,9
404,13,SEA E12.5,5,4,15.5,1.749,0,4
405,14,SEA E12.5,5,1,10,1.354,0,3
406,14,SEA E12.5,5,2,13.4,1.632,2,0
407,14,SEA E12.5,5,3,16.4,2.137,1,2
408,14,SEA E12.5,5,4,94.1,11.447,17,12
409,15,SEA E12.5,5,1,120,2.757,0,8
410,15,SEA E12.5,5,2,4.4,0.433,0,1
411,15,SEA E12.5,5,3,120,3.377,0,11
412,15,SEA E12.5,5,4,120,3.029,0,10
413,16,SEA E12.5,5,1,120,3.141,0,4
414,16,SEA E12.5,5,2,12.6,0.301,0,0
415,16,SEA E12.5,5,3,21.2,0.907,0,0
416,16,SEA E12.5,5,4,120,2.668,2,2
417,17,Saline E12.5,5,1,41.5,2.243,0,4
418,17,Saline E12.5,5,2,24.1,1.669,2,1
419,17,Saline E12.5,5,3,120,5.48,4,8
420,17,Saline E12.5,5,4,14.5,0.725,0,1
421,18,Saline E12.5,5,1,7.8,0.372,0,1
422,18,Saline E12.5,5,2,24.4,2.893,3,4
423,18,Saline E12.5,5,3,8,0.575,0,2
424,18,Saline E12.5,5,4,15.7,1.768,4,0
425,19,Saline E12.5,5,1,11.5,1.1,0,3
426,19,Saline E12.5,5,2,32,4.882,0,13
427,19,Saline E12.5,5,3,3.9,0.304,0,0
428,19,Saline E12.5,5,4,18.7,2.707,6,0
429,20,Saline E12.5,5,1,10.5,0.92,0,0
430,20,Saline E12.5,5,2,25.6,3.977,2,6
431,20,Saline E12.5,5,3,28.1,3.685,7,4
432,20,Saline E12.5,5,4,23.3,3.185,4,4
433,21,Saline E12.5,5,1,31.6,1.88,0,4
434,21,Saline E12.5,5,2,36.6,3.961,2,6
435,21,Saline E12.5,5,3,120,11.523,11,20
436,21,Saline E12.5,5,4,120,9.676,6,20
437,22,Saline E12.5,5,1,16.6,1.028,0,4
438,22,Saline E12.5,5,2,12.7,1.342,0,3
439,22,Saline E12.5,5,3,19.1,2.207,3,2
440,22,Saline E12.5,5,4,50.4,4.975,7,8
441,1,SEA E12.5,6,1,4.6,0.559,0,1
442,1,SEA E12.5,6,2,12.4,1.525,1,2
443,1,SEA E12.5,6,3,64.5,7.924,5,15
444,1,SEA E12.5,6,4,120,13.442,12,20
445,2,SEA E12.5,6,1,4.8,0.446,0,1
446,2,SEA E12.5,6,2,3.9,0.535,0,1
447,2,SEA E12.5,6,3,12.3,2.04,2,2
448,2,SEA E12.5,6,4,120,15.339,13,25
449,3,SEA E12.5,6,1,4.9,0.702,0,1
450,3,SEA E12.5,6,2,14.1,1.314,2,1
451,3,SEA E12.5,6,3,18.6,2.157,4,1
452,3,SEA E12.5,6,4,13.3,1.97,4,1
453,4,SEA E12.5,6,1,17.2,0.941,0,1
454,4,SEA E12.5,6,2,9.5,1.238,0,3
455,4,SEA E12.5,6,3,15.7,2.085,4,1
456,4,SEA E12.5,6,4,32,3.942,2,7
457,5,SEA E12.5,6,1,3.4,0.548,0,1
458,5,SEA E12.5,6,2,7.3,0.895,2,0
459,5,SEA E12.5,6,3,2.8,0.331,0,0
460,5,SEA E12.5,6,4,120,18.076,22,28
461,6,SEA E12.5,6,1,5.3,0.551,0,1
462,6,SEA E12.5,6,2,18.2,2.092,2,4
463,6,SEA E12.5,6,3,7.6,0.9,2,0
464,6,SEA E12.5,6,4,13.8,1.713,4,1
465,7,Saline E12.5,6,1,16,1.378,0,4
466,7,Saline E12.5,6,2,7.9,1.011,2,1
467,7,Saline E12.5,6,3,120,12.145,21,8
468,7,Saline E12.5,6,4,120,11.026,16,13
469,8,Saline E12.5,6,1,5.5,0.622,0,1
470,8,Saline E12.5,6,2,8,1.277,2,1
471,8,Saline E12.5,6,3,10.5,1.978,4,1
472,8,Saline E12.5,6,4,120,18.273,29,13
473,9,Saline E12.5,6,1,13.2,1.706,0,4
474,9,Saline E12.5,6,2,4.2,0.345,0,0
475,9,Saline E12.5,6,3,11.1,1.318,0,2
476,9,Saline E12.5,6,4,120,17.36,21,30
477,10,Saline E12.5,6,1,22.1,3.81,0,6
478,10,Saline E12.5,6,2,4.6,0.286,0,0
479,10,Saline E12.5,6,3,103.9,15.99,17,20
480,10,Saline E12.5,6,4,120,15.659,23,19
